targetlib,individual_id,sample_id,fastq_id,fq1,fq2,bam,library_size
TRUE,SR00100,SR00100-testis,P7359_106_S6_L008,/crex2/proj/sllstore2017073/private/01_raw_data/A.Suh_17_02/fastq/HGYLKALXX/outs/fastq_path/A_Suh_17_02/P7359_106/P7359_106_S6_L008_R1_001.fastq.gz,/crex2/proj/sllstore2017073/private/01_raw_data/A.Suh_17_02/fastq/HGYLKALXX/outs/fastq_path/A_Suh_17_02/P7359_106/P7359_106_S6_L008_R2_001.fastq.gz,/crex/proj/sllstore2017073/private/GRC/Augustin/analysis/snakemake_output-no_adapter-TruSeq3-PE-2/results/bwa_mem2/SR00100-testis/SR00100-testis.bam,776818512
TRUE,SR00100,SR00100-testis,P8503_1005_S17_L007,/crex2/proj/sllstore2017073/private/01_raw_data/A.Suh_17_03/FASTQ/A_Suh_17_03/SI-GA-H4_1/P8503_1005_S17_L007_R1_001.fastq.gz,/crex2/proj/sllstore2017073/private/01_raw_data/A.Suh_17_03/FASTQ/A_Suh_17_03/SI-GA-H4_1/P8503_1005_S17_L007_R2_001.fastq.gz,/crex/proj/sllstore2017073/private/GRC/Augustin/analysis/snakemake_output-no_adapter-TruSeq3-PE-2/results/bwa_mem2/SR00100-testis/SR00100-testis.bam,776818512
TRUE,SR00100,SR00100-testis,P8503_1005_S18_L007,/crex2/proj/sllstore2017073/private/01_raw_data/A.Suh_17_03/FASTQ/A_Suh_17_03/SI-GA-H4_2/P8503_1005_S18_L007_R1_001.fastq.gz,/crex2/proj/sllstore2017073/private/01_raw_data/A.Suh_17_03/FASTQ/A_Suh_17_03/SI-GA-H4_2/P8503_1005_S18_L007_R2_001.fastq.gz,/crex/proj/sllstore2017073/private/GRC/Augustin/analysis/snakemake_output-no_adapter-TruSeq3-PE-2/results/bwa_mem2/SR00100-testis/SR00100-testis.bam,776818512
TRUE,SR00100,SR00100-testis,P8503_1005_S19_L007,/crex2/proj/sllstore2017073/private/01_raw_data/A.Suh_17_03/FASTQ/A_Suh_17_03/SI-GA-H4_3/P8503_1005_S19_L007_R1_001.fastq.gz,/crex2/proj/sllstore2017073/private/01_raw_data/A.Suh_17_03/FASTQ/A_Suh_17_03/SI-GA-H4_3/P8503_1005_S19_L007_R2_001.fastq.gz,/crex/proj/sllstore2017073/private/GRC/Augustin/analysis/snakemake_output-no_adapter-TruSeq3-PE-2/results/bwa_mem2/SR00100-testis/SR00100-testis.bam,776818512
TRUE,SR00100,SR00100-testis,P8503_1005_S20_L007,/crex2/proj/sllstore2017073/private/01_raw_data/A.Suh_17_03/FASTQ/A_Suh_17_03/SI-GA-H4_4/P8503_1005_S20_L007_R1_001.fastq.gz,/crex2/proj/sllstore2017073/private/01_raw_data/A.Suh_17_03/FASTQ/A_Suh_17_03/SI-GA-H4_4/P8503_1005_S20_L007_R2_001.fastq.gz,/crex/proj/sllstore2017073/private/GRC/Augustin/analysis/snakemake_output-no_adapter-TruSeq3-PE-2/results/bwa_mem2/SR00100-testis/SR00100-testis.bam,776818512
FALSE,SR00100,SR00100-liver,P8503_1004_S13_L006,/crex2/proj/sllstore2017073/private/01_raw_data/A.Suh_17_03/FASTQ/A_Suh_17_03/SI-GA-G4_1/P8503_1004_S13_L006_R1_001.fastq.gz,/crex2/proj/sllstore2017073/private/01_raw_data/A.Suh_17_03/FASTQ/A_Suh_17_03/SI-GA-G4_1/P8503_1004_S13_L006_R2_001.fastq.gz,/crex/proj/sllstore2017073/private/GRC/Augustin/analysis/snakemake_output-no_adapter-TruSeq3-PE-2/results/bwa_mem2/SR00100-liver/SR00100-liver.bam,232012225
FALSE,SR00100,SR00100-liver,P8503_1004_S14_L006,/crex2/proj/sllstore2017073/private/01_raw_data/A.Suh_17_03/FASTQ/A_Suh_17_03/SI-GA-G4_2/P8503_1004_S14_L006_R1_001.fastq.gz,/crex2/proj/sllstore2017073/private/01_raw_data/A.Suh_17_03/FASTQ/A_Suh_17_03/SI-GA-G4_2/P8503_1004_S14_L006_R2_001.fastq.gz,/crex/proj/sllstore2017073/private/GRC/Augustin/analysis/snakemake_output-no_adapter-TruSeq3-PE-2/results/bwa_mem2/SR00100-liver/SR00100-liver.bam,232012225
FALSE,SR00100,SR00100-liver,P8503_1004_S15_L006,/crex2/proj/sllstore2017073/private/01_raw_data/A.Suh_17_03/FASTQ/A_Suh_17_03/SI-GA-G4_3/P8503_1004_S15_L006_R1_001.fastq.gz,/crex2/proj/sllstore2017073/private/01_raw_data/A.Suh_17_03/FASTQ/A_Suh_17_03/SI-GA-G4_3/P8503_1004_S15_L006_R2_001.fastq.gz,/crex/proj/sllstore2017073/private/GRC/Augustin/analysis/snakemake_output-no_adapter-TruSeq3-PE-2/results/bwa_mem2/SR00100-liver/SR00100-liver.bam,232012225
FALSE,SR00100,SR00100-liver,P8503_1004_S16_L006,/crex2/proj/sllstore2017073/private/01_raw_data/A.Suh_17_03/FASTQ/A_Suh_17_03/SI-GA-G4_4/P8503_1004_S16_L006_R1_001.fastq.gz,/crex2/proj/sllstore2017073/private/01_raw_data/A.Suh_17_03/FASTQ/A_Suh_17_03/SI-GA-G4_4/P8503_1004_S16_L006_R2_001.fastq.gz,/crex/proj/sllstore2017073/private/GRC/Augustin/analysis/snakemake_output-no_adapter-TruSeq3-PE-2/results/bwa_mem2/SR00100-liver/SR00100-liver.bam,232012225
TRUE,SpainM1,SpainM1-testis,Tgut_Tes_M1,/proj/sllstore2017073/private/zebrafinch/tgut_gdna_reads/Tgut_Tes_M1_checked_1.fastq.gz,/proj/sllstore2017073/private/zebrafinch/tgut_gdna_reads/Tgut_Tes_M1_checked_2.fastq.gz,/crex/proj/sllstore2017073/private/GRC/Augustin/analysis/snakemake_output-no_adapter-TruSeq3-PE-2/results/bwa_mem2/SpainM1-testis/SpainM1-testis.bam,99714772
